Item,Location,Longitude,Latitude
395, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
396, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
397, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
398, Vandenberg AFB California USA,-120.58262457020024,34.73835455
399, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
400, Wenchang Satellite Launch Center China,34.680158,31.884586
401, Tanegashima Space Center Japan,130.97126149653548,30.4034117
402, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
403, Wallops Flight Facility Virginia USA,-75.49639969025829,37.855614700000004
404, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
405, West Texas Texas USA,-98.1626132,26.172826
406, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
407, Satish Dhawan Space Centre India,80.16460301880002,13.72376835
408, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
409, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
410, Palmachim Airbase Israel,34.680158,31.884586
411, Cape Canaveral AFS Florida USA,-80.572293,28.488798
412, Satish Dhawan Space Centre India,80.16460301880002,13.72376835
413, Cape Canaveral AFS Florida USA,-80.572293,28.488798
414, Taiyuan Satellite Launch Center China,111.60532243338425,38.84978335
415, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
416, Cape Canaveral AFS Florida USA,-80.572293,28.488798
417, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
418, Cape Canaveral AFS Florida USA,-80.572293,28.488798
419, Taiyuan Satellite Launch Center China,111.60532243338425,38.84978335
420, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
421, Cape Canaveral AFS Florida USA,-80.572293,28.488798
422, Cape Canaveral AFS Florida USA,-80.572293,28.488798
423, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
424, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
425, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
426, Wenchang Satellite Launch Center China,34.680158,31.884586
427, Cape Canaveral AFS Florida USA,-80.572293,28.488798
428, Satish Dhawan Space Centre India,80.16460301880002,13.72376835
429, West Texas Texas USA,-98.1626132,26.172826
430, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
431, Cape Canaveral AFS Florida USA,-80.572293,28.488798
432, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
433, Cape Canaveral AFS Florida USA,-80.572293,28.488798
434, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
435, Plesetsk Cosmodrome Russia,40.574814,62.927843
436, Taiyuan Satellite Launch Center China,111.60532243338425,38.84978335
437, Plesetsk Cosmodrome Russia,40.574814,62.927843
438, Cape Canaveral AFS Florida USA,-80.572293,28.488798
